# Exported by NS Web Analytics on 2025-12-18 21:51:47
# CSV Version=0.1.0
deviceTime,latitude,longitude,altitude,speed,accuracy,missionId,recordNumber,sourceAddress,destinationAddress,bssid,beaconInterval,serviceSetType,ssid,supportedRates,extendedSupportedRates,cipherSuites,akmSuites,encryptionType,wps,channel,frequencyMhz,signalStrength,snr,nodeType,standard,passpoint,bandwidth,deviceSerialNumber,locationAge
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,518,,,1c:e8:9e:5b:e6:5f,,,[range]_E30AJT7113616R,,,,,WPA2,false,1,0,-54,0,,IEEE80211N,,MHZ_40,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,519,,,c6:50:9c:98:56:51,,,inigo0103,,,,,WPA2_WPA3,true,11,0,-53,0,,IEEE80211AX,,MHZ_20,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,520,,,72:13:01:e1:75:8e,,,,,,,,WPA2,false,6,0,-80,0,,IEEE80211AX,,MHZ_20,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,521,,,c6:50:9c:d5:6c:81,,,christianskingdom,,,,,WPA2_WPA3,true,6,0,-58,0,,IEEE80211AX,,MHZ_20,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,522,,,00:04:ea:3d:7a:f4,,,DIRECT-88-HP Smart Tank 5100,,,,,WPA2,true,10,0,-62,0,,IEEE80211N,,MHZ_20,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,523,,,f2:79:0a:4e:00:0d,,,Xfinity Mobile,,,,,WPA2,false,44,0,-65,0,,IEEE80211AX,true,MHZ_80,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,524,,,62:45:b9:0d:f6:47,,,,,,,,WEP,false,149,0,-69,0,,,,MHZ_20,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,525,,,bc:10:2f:f0:97:41,,,[range]_E30AJT7113758Z,,,,,WPA2,false,1,0,-75,0,,IEEE80211N,,MHZ_40,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,526,,,24:41:fe:85:dc:fe,,,Verizon_PL7VVB,,,,,WPA2,true,11,0,-35,0,,IEEE80211N,,MHZ_20,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,527,,,26:41:fe:85:dd:02,,,,,,,,WPA3,false,37,0,-63,0,,IEEE80211AX,,MHZ_160,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,528,,,c4:50:9c:a6:56:57,,,Xfinity Mobile,,,,,WPA2,false,69,0,-93,0,,IEEE80211AX,,MHZ_160,eb2c381c6eea8179,1360
