# Exported by NS Web Analytics on 2025-12-18 21:51:58
# CSV Version=0.1.0
deviceTime,latitude,longitude,altitude,speed,accuracy,missionId,recordNumber,sourceAddress,destinationAddress,signalStrength,txPower,technology,supportedTechnologies,otaDeviceName,channel,deviceSerialNumber,locationAge,addressType,deviceClass,serviceUuids,companyId
2025-12-18T21:49:00.149486Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,337,6C:15:DB:1D:6D:7B,,-74,0,,BR_EDR,[LG] webOS TV OLED65C5PUA,0,eb2c381c6eea8179,3226,,43c,,
2025-12-18T21:48:59.997879Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,336,FC:97:A8:67:96:5B,,-97,0,,BR_EDR,JoyXtra-965B,0,eb2c381c6eea8179,3074,,,,
2025-12-18T21:48:59.830516Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,335,6A:19:B1:05:90:C7,,-91,0,,DUAL,,0,eb2c381c6eea8179,2907,,,,
2025-12-18T21:48:59.578001Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,334,F1:00:2B:06:8A:51,,-84,0,,LE,TY,0,eb2c381c6eea8179,2654,,,,
2025-12-18T21:48:59.5728Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,333,98:17:3C:A4:8C:FD,,-56,0,,LE,ihoment_H6008_8CFD,0,eb2c381c6eea8179,2649,,,,
2025-12-18T21:48:59.540479Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,332,53:D9:3B:F8:8F:8A,,-69,0,,DUAL,,0,eb2c381c6eea8179,2617,,,,
2025-12-18T21:48:59.196332Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,331,51:9E:2A:71:A3:44,,-43,0,,DUAL,,0,eb2c381c6eea8179,2273,,,,
2025-12-18T21:48:58.931184Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,330,98:17:3C:AA:4E:27,,-62,0,,LE,ihoment_H6008_4E27,0,eb2c381c6eea8179,2007,,,,
2025-12-18T21:48:58.927653Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,329,4E:F3:B5:ED:8C:22,,-45,0,,DUAL,,0,eb2c381c6eea8179,2004,,,,
2025-12-18T21:48:58.914761Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,328,98:17:3C:9E:1B:85,,-58,0,,LE,ihoment_H6008_1B85,0,eb2c381c6eea8179,1991,,,,
2025-12-18T21:48:58.909711Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,327,98:17:3C:9B:7A:E5,,-80,0,,LE,ihoment_H6008_7AE5,0,eb2c381c6eea8179,1986,,,,
2025-12-18T21:48:58.902101Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,326,6C:04:4F:C9:D3:D1,,-47,0,,DUAL,,0,eb2c381c6eea8179,1978,,,,
